phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi,split_factor,sub_bins_count,sub_bins_sizes,noise_bins_count,noise_ratio
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun,2|M|マイル,143,143,23.08,76.08,75.6,143,66.43,91.96,105.99,81.15,87.24,keibajo_code,7,"47,23,21,17,17,10,8",7,100.0
3,KEIBAJO_SURFACE_03_芝_新馬,pace_yoso+class_code+kishu_kitai_rentai_ritsu,H|15|3.8,156,156,3.21,172.56,134.4,156,13.46,123.97,105.86,91.05,100.94,tenkai_kigo_code,5,"94,23,22,10,7",4,80.0
3,KEIBAJO_SURFACE_06_ダ_条件戦,pace_yoso+rotation+gekiso_juni,M|2.0|1.0,137,137,40.88,113.07,108.92,137,71.53,93.94,104.88,80.63,86.41,tenkai_kigo_code,5,"43,39,34,17,4",5,100.0
3,KEIBAJO_SURFACE_09_ダ_条件戦,manken_shirushi+kyakushitsu+hizume_code,2|2|10,131,131,15.27,120.76,73.69,131,51.15,105.65,103.21,80.97,86.32,class_code,5,"71,41,17,1,1",4,80.0
3,KEIBAJO_SURFACE_09_ダ_新馬,manken_shirushi+pace_yoso+gekiso_juni,1|H|1.0,168,168,11.9,88.99,89.81,168,39.88,118.69,103.13,84.95,93.02,class_code,7,"134,14,9,6,3,1,1",6,85.7
3,KEIBAJO_SURFACE_06_ダ_条件戦,manken_shirushi+tenkai_kigo_code+agari_shisu_juni,1|3|2.0,150,150,20.67,105.2,94.22,150,50.0,97.07,102.34,82.41,86.55,class_code,4,"77,47,20,1",3,75.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+hizume_code,2|00|10,216,216,23.61,84.63,90.16,216,58.33,94.4,102.34,86.25,93.04,keibajo_code,10,"47,37,32,27,27,15,13,12,4,2",10,100.0
3,KEIBAJO_SURFACE_06_ダ_条件戦,tenkai_kigo_code+kijun_ninkijun_tansho+gekiso_juni,2|1|1.0,145,145,53.1,97.31,95.05,145,81.38,94.41,102.13,95.25,100.11,class_code,4,"95,17,4,1",3,75.0
3,KEIBAJO_SURFACE_06_ダ_条件戦,pace_yoso+kijun_ninkijun_tansho+gekiso_juni,M|1|1.0,228,228,45.18,95.57,91.26,228,79.82,95.92,101.8,86.55,91.31,tenkai_kigo_code,5,"79,78,55,13,3",2,40.0
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+hizume_code,2|5|10,191,191,25.65,90.84,92.66,191,60.21,96.75,101.56,82.04,90.09,keibajo_code,10,"50,32,26,25,23,13,9,8,3,2",9,90.0
3,SURFACE_2_ダ,manken_shirushi+kyori_tekisei_2+ichi_shisu_juni,1|2|3.0,143,143,13.99,92.1,100.81,143,38.46,96.99,101.49,80.21,86.58,class_code,13,"44,39,15,13,12,5,4,4,2,2,1,1,1",13,100.0
3,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+uma_start_shisu,2|00|-0.1,135,135,14.81,84.37,103.53,135,39.26,94.67,101.36,80.65,84.14,class_code,16,"42,29,19,11,7,7,4,3,3,2,2,2,1,1,1,1",16,100.0
3,KEIBAJO_SURFACE_09_ダ_条件戦,omo_tekisei_code+manken_shirushi+gekiso_juni,2|1|1.0,194,194,26.8,99.85,81.59,194,63.4,98.25,101.3,84.75,91.13,tenkai_kigo_code,5,"74,54,43,18,5",3,60.0
3,KEIBAJO_SURFACE_06_ダ,manken_shirushi+da_tekisei_code+ichi_shisu_juni,1|2|4.0,140,140,16.43,97.71,99.48,140,42.14,96.5,100.77,82.98,86.74,class_code,9,"52,31,20,19,11,2,2,2,1",8,88.9
