phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi,split_factor,sub_bins_count,sub_bins_sizes,noise_bins_count,noise_ratio
3,COURSE_27_06_ダ_短距離,da_tekisei_code+gekiso_juni+kijun_ninkijun_tansho,2|1.0|1,318,318,39.94,87.01,85.24,318,75.47,93.96,99.01,80.87,87.99,class_code,14,"158,38,36,35,18,14,8,4,2,1,1,1,1,1",13,92.9
3,COURSE_27_06_ダ_短距離,da_tekisei_code+pace_shisu_juni+ten_shisu_juni,2|1.0|1.0,293,293,22.87,110.99,96.28,293,48.12,91.43,96.61,81.4,88.73,class_code,11,"95,54,49,41,23,19,4,3,3,1,1",9,81.8
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+uma_deokure_ritsu+kyakushitsu,2|0.0|2,319,319,15.67,64.95,101.56,319,39.81,87.12,95.67,81.56,88.66,class_code,17,"76,47,33,31,23,21,21,20,11,9,7,6,5,5,2,1,1",16,94.1
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,2|M|00,444,444,22.3,72.95,78.48,444,56.76,86.8,94.63,85.08,88.56,keibajo_code,10,"69,58,57,56,53,43,32,26,26,24",5,50.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+da_tekisei_code,2|00|2,440,440,25.0,77.27,80.52,440,58.64,83.41,94.2,82.05,88.19,keibajo_code,10,"77,64,61,57,38,35,32,30,25,21",6,60.0
3,KEIBAJO_SURFACE_09_ダ_条件戦,omo_tekisei_code+kijun_ninkijun_tansho+gekiso_juni,2|1|1.0,292,292,40.41,77.74,79.11,292,76.37,88.73,93.87,86.55,90.33,tenkai_kigo_code,5,"94,85,68,43,2",2,40.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyakushitsu,2|00|2,423,423,21.28,65.79,74.7,423,55.32,84.44,93.77,84.66,88.97,keibajo_code,10,"63,60,55,49,45,37,35,30,25,24",7,70.0
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu,2|2|0.0,393,393,13.23,65.37,88.64,393,39.19,91.48,92.91,88.31,90.53,class_code,18,"93,57,54,40,29,20,17,15,13,12,11,11,9,5,3,2,1,1",15,83.3
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+da_tekisei_code,2|中距離|2,324,324,24.07,79.97,83.6,324,55.56,81.98,92.28,80.09,88.31,keibajo_code,10,"60,59,55,38,35,25,23,18,10,1",7,70.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+uma_start_shisu,2|00|0.0,326,326,20.55,80.12,79.41,326,50.31,88.47,91.46,92.71,92.81,keibajo_code,10,"49,46,45,36,33,30,28,23,20,16",10,100.0
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu,2|5|2,419,419,21.96,67.59,76.26,419,54.65,81.72,91.38,80.69,86.24,keibajo_code,10,"59,57,51,49,48,39,33,30,27,26",7,70.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,2|00|2,558,558,20.61,72.49,77.91,558,51.61,82.37,90.9,85.06,89.11,class_code,12,"158,153,112,96,28,5,1,1,1,1,1,1",8,66.7
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,2|マイル|00,331,331,22.05,67.07,72.82,331,56.19,79.79,90.9,83.65,88.11,class_code,8,"124,93,62,37,10,2,2,1",5,62.5
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|マイル|5,333,333,22.22,67.42,71.85,333,56.76,78.23,90.66,82.95,87.92,class_code,8,"123,93,65,37,10,2,2,1",5,62.5
3,COURSE_27_06_ダ_短距離,pace_shisu_juni+uma_deokure_ritsu+ten_shisu_juni,1.0|0.0|1.0,286,286,19.23,82.8,88.52,286,43.71,84.37,90.49,80.5,86.81,class_code,12,"125,61,29,27,15,8,5,5,4,3,3,1",10,83.3
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu,2|5|3,361,361,16.34,50.89,57.78,361,53.74,87.76,90.14,80.69,86.24,keibajo_code,10,"55,49,41,40,39,32,31,28,25,21",9,90.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyakushitsu,2|00|3,379,379,16.09,51.29,58.71,379,52.77,87.44,90.08,84.66,88.97,keibajo_code,10,"55,49,42,41,39,38,32,31,27,25",9,90.0
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,2|00|5,1017,1017,20.65,69.57,74.1,1017,52.51,83.32,89.6,80.28,86.29,class_code,11,"280,249,213,198,52,13,6,3,1,1,1",6,54.5
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|2,538,538,21.56,75.61,78.58,538,52.04,81.41,89.41,81.37,86.49,class_code,11,"154,147,101,97,29,5,1,1,1,1,1",7,63.6
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun,2|M|中距離,283,283,21.55,72.12,77.57,283,53.36,82.9,89.35,81.15,87.24,keibajo_code,10,"44,39,37,32,25,24,23,23,20,16",10,100.0
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,5|1|2,397,397,20.65,70.1,76.46,397,51.13,88.04,89.27,81.37,86.49,keibajo_code,10,"57,51,47,44,41,39,39,38,26,15",8,80.0
