logical_field_name,jvd_table,jvd_column,jrdb_table,jrdb_column,overlap_type,canonical_source,reason,evidence_file
keibajo_code,jvd_se,keibajo_code,jrd_kyi_fixed,keibajo_code,exact_overlap,JVD,JOIN条件で一致が保証。JVDを正本とする,factor_screening.py L242
race_bango,jvd_se,race_bango,jrd_kyi_fixed,race_bango,exact_overlap,JVD,JOIN条件,factor_screening.py L246
umaban,jvd_se,umaban,jrd_kyi_fixed,umaban,exact_overlap,JVD,JOIN条件,factor_screening.py L247
wakuban,jvd_se,wakuban,jrd_kyi_fixed,wakuban,exact_overlap,JVD,コード上compute_derived_factorsでjvd_se.wakuban_vを採用済み。正本JVD確定,factor_screening.py L650
kishu_code,jvd_se,kishu_code,jrd_kyi_fixed,kishu_code,exact_overlap,JVD,騎手コード。jvd_seが公式ソース。JRDBは2次処理,factor_screening.py
chokyoshi_code,jvd_se,chokyoshi_code,jrd_kyi_fixed,chokyoshi_code,exact_overlap,JVD,調教師コード。JVD正本,factor_screening.py
kishu_minarai_code,jvd_se,kishu_minarai_code,jrd_kyi_fixed,kishu_minarai_code,exact_overlap,JVD,騎手見習いコード。現在JRDB(k.)から参照。JVDに切替可能,factor_screening.py L183
umakigo_code,jvd_se,umakigo_code,jrd_kyi_fixed,umakigo_code,exact_overlap,JVD,馬記号(牡牝騸)。現在JRDB(k.)から参照。JVDに切替可能,factor_screening.py L183
seibetsu_code,jvd_se,seibetsu_code,jrd_kyi_fixed,seibetsu_code,exact_overlap,JVD,性別コード。現在JRDBから参照。JVDに切替可能(ただしPhase1-4 ALL_FACTORSには含まれない),factor_screening.py
bamei,jvd_se,bamei,jrd_kyi_fixed,bamei,exact_overlap,JVD,馬名。ラベル用途のみ。JVD正本,factor_screening.py
banushimei,jvd_se,banushimei,jrd_kyi_fixed,banushimei,exact_overlap,JVD,オーナー名。ラベル用途のみ,factor_screening.py
