phase,file,logical_field_name,source_table,source_column,usage_type,canonical_source_after_policy,needs_change,impact_note
1,factor_screening.py / factor_investment_screening.py,idm,jrd_kyi_fixed,idm,direct,JRDB,no,JRDB独自。変更不可
1,factor_screening.py / factor_investment_screening.py,sogo_shisu,jrd_kyi_fixed,sogo_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,ten_shisu,jrd_kyi_fixed,ten_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,pace_shisu,jrd_kyi_fixed,pace_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,agari_shisu,jrd_kyi_fixed,agari_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,ichi_shisu,jrd_kyi_fixed,ichi_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,gekiso_shisu,jrd_kyi_fixed,gekiso_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,ninki_shisu,jrd_kyi_fixed,ninki_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,joho_shisu,jrd_kyi_fixed,joho_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,manken_shisu,jrd_kyi_fixed,manken_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kishu_shisu,jrd_kyi_fixed,kishu_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,chokyo_shisu,jrd_kyi_fixed,chokyo_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kyusha_shisu,jrd_kyi_fixed,kyusha_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,ls_shisu_juni,jrd_kyi_fixed,ls_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,ten_shisu_juni,jrd_kyi_fixed,ten_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,pace_shisu_juni,jrd_kyi_fixed,pace_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,agari_shisu_juni,jrd_kyi_fixed,agari_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,ichi_shisu_juni,jrd_kyi_fixed,ichi_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,gekiso_juni,jrd_kyi_fixed,gekiso_juni,direct,JRDB,no,JRDB独自(SHS)
1,factor_screening.py / factor_investment_screening.py,kishu_kitai_rentai_ritsu,jrd_kyi_fixed,kishu_kitai_rentai_ritsu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kishu_kitai_tansho_ritsu,jrd_kyi_fixed,kishu_kitai_tansho_ritsu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kishu_kitai_sanchakunai_ritsu,jrd_kyi_fixed,kishu_kitai_sanchakunai_ritsu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,uma_start_shisu,jrd_kyi_fixed,uma_start_shisu,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,uma_deokure_ritsu,jrd_kyi_fixed,uma_deokure_ritsu,direct,JRDB,no,JRDB独自
