table_name,column_name,description,used_in_code,files
jvd_se,record_id,,no,factor_screening.py
jvd_se,data_kubun,,no,factor_screening.py
jvd_se,data_sakusei_nengappi,,no,factor_screening.py
jvd_se,kaisai_nen,"開催年(4桁,JVD正本)",yes,factor_screening.py
jvd_se,kaisai_tsukihi,開催月日(MMDD),yes,factor_screening.py
jvd_se,keibajo_code,競馬場コード(01-10=JRA),yes,factor_screening.py
jvd_se,kaisai_kai,開催回,yes,factor_screening.py
jvd_se,kaisai_nichime,開催日目,yes,factor_screening.py
jvd_se,race_bango,レース番号,yes,factor_screening.py
jvd_se,wakuban,枠番(JVD正本),yes,factor_screening.py
jvd_se,umaban,馬番,yes,factor_screening.py
jvd_se,ketto_toroku_bango,血統登録番号(JVD),yes,factor_screening.py
jvd_se,bamei,馬名(JVD),yes,factor_screening.py
jvd_se,umakigo_code,馬記号コード(牡牝騸) JVD正本,yes,factor_screening.py
jvd_se,seibetsu_code,性別コード JVD正本,yes,factor_screening.py
jvd_se,hinshu_code,品種コード,yes,factor_screening.py
jvd_se,moshoku_code,毛色コード,yes,factor_screening.py
jvd_se,barei,"馬齢(JVD正本,ゼロパディング文字列)",yes,factor_screening.py
jvd_se,tozai_shozoku_code,東西所属コード,yes,factor_screening.py
jvd_se,chokyoshi_code,調教師コード(JVD正本),no,factor_screening.py
jvd_se,chokyoshimei_ryakusho,,no,factor_screening.py
jvd_se,banushi_code,,no,factor_screening.py
jvd_se,banushimei,,yes,factor_screening.py
jvd_se,fukushoku_hyoji,,no,factor_screening.py
jvd_se,yobi_1,,no,factor_screening.py
jvd_se,futan_juryo,負担重量(JVD正本),yes,factor_screening.py
jvd_se,futan_juryo_henkomae,,no,factor_screening.py
jvd_se,blinker_shiyo_kubun,ブリンカー使用区分(JVD),yes,factor_screening.py
jvd_se,yobi_2,,no,factor_screening.py
jvd_se,kishu_code,騎手コード(JVD正本),yes,factor_screening.py
jvd_se,kishu_code_henkomae,,no,factor_screening.py
jvd_se,kishumei_ryakusho,,no,factor_screening.py
jvd_se,kishumei_ryakusho_henkomae,,no,factor_screening.py
jvd_se,kishu_minarai_code,騎手見習いコード JVD正本,yes,factor_screening.py
jvd_se,kishu_minarai_code_henkomae,,no,factor_screening.py
jvd_se,bataiju,"馬体重(公式計量,JVD正本)",yes,factor_screening.py
jvd_se,zogen_fugo,体重増減符号(JVD正本),yes,factor_screening.py
jvd_se,zogen_sa,体重増減差(JVD正本),yes,factor_screening.py
jvd_se,ijo_kubun_code,"異常区分(0=正常,CLAUDE.md規約)",yes,factor_screening.py
jvd_se,nyusen_juni,入線順位,no,factor_screening.py
jvd_se,kakutei_chakujun,確定着順(JVD正本),yes,factor_screening.py
jvd_se,dochaku_kubun,,no,factor_screening.py
jvd_se,dochaku_tosu,,no,factor_screening.py
jvd_se,soha_time,,no,factor_screening.py
jvd_se,chakusa_code_1,,no,factor_screening.py
jvd_se,chakusa_code_2,,no,factor_screening.py
jvd_se,chakusa_code_3,,no,factor_screening.py
jvd_se,corner_1,,no,factor_screening.py
jvd_se,corner_2,,no,factor_screening.py
jvd_se,corner_3,,no,factor_screening.py
jvd_se,corner_4,,no,factor_screening.py
jvd_se,tansho_odds,"単勝オッズ(整数x10,JVD正本)",yes,factor_screening.py
jvd_se,tansho_ninkijun,,no,factor_screening.py
jvd_se,kakutoku_honshokin,,no,factor_screening.py
jvd_se,kakutoku_fukashokin,,no,factor_screening.py
jvd_se,yobi_3,,no,factor_screening.py
jvd_se,yobi_4,,no,factor_screening.py
jvd_se,kohan_4f,,no,factor_screening.py
jvd_se,kohan_3f,,yes,factor_screening.py
jvd_se,aiteuma_joho_1,,yes,factor_screening.py
jvd_se,aiteuma_joho_2,,no,factor_screening.py
jvd_se,aiteuma_joho_3,,no,factor_screening.py
jvd_se,time_sa,,no,factor_screening.py
jvd_se,record_koshin_kubun,,no,factor_screening.py
jvd_se,mining_kubun,,yes,factor_screening.py
jvd_se,yoso_soha_time,,no,factor_screening.py
jvd_se,yoso_gosa_plus,,no,factor_screening.py
jvd_se,yoso_gosa_minus,,no,factor_screening.py
jvd_se,yoso_juni,,yes,factor_screening.py
jvd_se,kyakushitsu_hantei,"脚質判定(JVD,kyakushitsuとは別定義)",yes,factor_screening.py
jvd_ra,record_id,,no,factor_screening.py
jvd_ra,data_kubun,,no,factor_screening.py
jvd_ra,data_sakusei_nengappi,,no,factor_screening.py
jvd_ra,kaisai_nen,"開催年(4桁,JVD正本)",yes,factor_screening.py
jvd_ra,kaisai_tsukihi,開催月日(MMDD),yes,factor_screening.py
jvd_ra,keibajo_code,競馬場コード(01-10=JRA),yes,factor_screening.py
jvd_ra,kaisai_kai,開催回,yes,factor_screening.py
jvd_ra,kaisai_nichime,開催日目,yes,factor_screening.py
jvd_ra,race_bango,レース番号,yes,factor_screening.py
jvd_ra,yobi_code,,no,factor_screening.py
jvd_ra,tokubetsu_kyoso_bango,,no,factor_screening.py
jvd_ra,kyosomei_hondai,,no,factor_screening.py
jvd_ra,kyosomei_fukudai,,no,factor_screening.py
jvd_ra,kyosomei_kakkonai,,no,factor_screening.py
jvd_ra,kyosomei_hondai_eur,,no,factor_screening.py
jvd_ra,kyosomei_fukudai_eur,,no,factor_screening.py
jvd_ra,kyosomei_kakkonai_eur,,no,factor_screening.py
jvd_ra,kyosomei_ryakusho_10,,no,factor_screening.py
jvd_ra,kyosomei_ryakusho_6,,no,factor_screening.py
jvd_ra,kyosomei_ryakusho_3,,no,factor_screening.py
jvd_ra,kyosomei_kubun,,no,factor_screening.py
jvd_ra,jusho_kaiji,,no,factor_screening.py
jvd_ra,grade_code,"グレード(A=G1,B=G2,C=G3) JVD正本",yes,factor_screening.py
