segment,factors,bin,n,win_rate,place_rate,win_roi,place_roi,score
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,10.0|6,674,5.0,,52.2,75.5,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,10.0|7,737,4.6,,94.0,90.3,1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|1,270,25.9,,71.6,88.5,0.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|2,339,15.0,,85.4,89.6,1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|3,387,10.9,,75.6,82.2,0.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|4,470,8.9,,76.2,80.4,-0.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|5,493,4.7,,59.9,68.2,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|6,562,5.3,,93.8,90.6,1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,11.0|7,561,4.3,,47.6,64.8,-1.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|1,191,22.5,,74.2,97.3,1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|2,247,8.5,,54.8,72.8,-1.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|3,325,11.1,,80.9,75.0,-0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|4,397,5.8,,40.4,70.9,-1.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|5,428,7.0,,76.9,84.1,0.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|6,460,4.3,,100.4,89.0,1.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,12.0|7,461,3.5,,57.4,76.4,-0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|1,150,28.0,,97.9,86.6,1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|2,185,13.0,,62.4,86.8,-0.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|3,269,6.7,,51.8,63.1,-1.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|4,302,5.6,,59.3,62.1,-1.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|5,342,5.3,,80.5,100.8,1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|6,426,6.8,,143.4,86.0,2.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,13.0|7,410,6.3,,102.7,93.9,1.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|1,122,27.9,,100.5,86.0,1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|2,183,18.6,,83.7,91.2,0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|3,189,13.2,,123.6,64.1,0.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|4,232,6.9,,52.2,93.5,0.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|5,281,6.0,,64.5,64.0,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|6,290,4.1,,79.2,74.8,-0.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,14.0|7,356,5.6,,77.0,68.4,-0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|1,82,26.8,,74.5,77.2,-0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|2,115,17.4,,77.9,104.2,1.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|3,128,10.9,,85.0,86.8,0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|4,158,8.9,,56.1,63.2,-1.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|5,186,4.3,,76.5,71.8,-0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|6,201,4.0,,41.8,88.9,-0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,15.0|7,215,1.9,,49.7,55.9,-0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|1,60,16.7,,58.1,81.7,-0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|2,57,21.1,,78.6,91.5,0.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|3,81,12.3,,99.0,70.3,-0.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|4,97,9.3,,67.6,62.5,-0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|5,118,5.9,,92.3,88.2,0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|6,132,8.3,,176.4,79.0,1.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,16.0|7,134,3.0,,81.5,101.0,0.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|1,3805,32.6,,76.6,84.8,0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|2,2684,20.0,,74.9,80.8,-0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|3,2065,13.0,,70.0,76.3,-1.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|4,1650,10.2,,64.7,79.0,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|5,1283,9.1,,87.6,81.6,0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|6,988,7.9,,76.0,72.4,-1.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,2.0|7,732,4.0,,42.2,65.9,-2.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|1,2435,29.9,,77.6,86.7,1.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|2,2336,17.7,,76.1,81.5,-0.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|3,2057,14.0,,83.3,84.6,1.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|4,1735,9.3,,79.6,77.7,-0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|5,1464,8.7,,74.7,76.4,-0.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|6,1208,7.9,,77.2,74.0,-0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,3.0|7,999,6.9,,86.4,83.0,0.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|1,1552,29.4,,84.4,87.4,2.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|2,1671,18.0,,81.1,86.0,1.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|3,1731,13.1,,85.1,77.0,-0.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|4,1691,8.9,,68.0,85.4,0.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|5,1602,7.0,,69.4,76.1,-1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|6,1423,7.1,,80.7,69.8,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,4.0|7,1192,4.7,,55.0,78.2,-1.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|1,1095,29.7,,87.9,87.6,2.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|2,1368,17.1,,81.9,82.6,0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|3,1453,11.8,,68.7,82.6,-0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|4,1459,9.5,,80.6,86.3,1.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|5,1467,7.4,,73.0,82.3,-0.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|6,1366,4.5,,50.9,75.1,-1.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,5.0|7,1221,5.3,,87.9,80.6,0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|1,787,29.0,,84.3,85.3,1.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|2,1034,16.0,,78.6,84.9,0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|3,1150,10.9,,69.4,88.4,0.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|4,1241,9.3,,90.4,86.0,1.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|5,1291,8.1,,101.5,86.1,1.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|6,1264,4.6,,90.2,78.5,0.3
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,6.0|7,1152,3.9,,71.8,81.5,-0.2
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|1,581,25.6,,81.0,84.9,0.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|2,768,13.8,,78.1,89.4,1.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|3,945,10.9,,76.7,77.0,-0.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|4,996,9.2,,94.2,81.8,0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|5,1119,7.5,,86.5,78.2,0.1
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|6,1150,5.8,,83.6,86.3,0.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,7.0|7,1133,5.2,,94.9,83.6,1.0
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|1,453,25.6,,82.4,90.4,1.5
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|2,638,14.4,,64.9,78.8,-0.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|3,740,10.3,,76.9,86.7,0.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|4,881,7.0,,68.5,70.7,-1.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|5,933,6.3,,77.3,76.9,-0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|6,958,4.2,,60.2,78.2,-0.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,8.0|7,989,3.5,,61.4,64.2,-1.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|1,419,24.1,,80.8,86.1,0.8
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|2,501,17.0,,84.9,83.7,0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|3,610,9.7,,63.5,81.1,-0.6
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|4,720,9.2,,90.7,82.5,0.7
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|5,785,6.1,,107.4,91.0,1.9
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|6,803,4.5,,83.3,84.5,0.4
SURFACE_2_ダ,prev2_chakujun+shirushi_code_1,9.0|7,843,4.0,,78.9,92.0,0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|1,1691,26.8,,74.0,80.3,-0.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|2,1478,16.9,,87.9,83.6,1.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|3,1396,11.5,,66.4,74.7,-1.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|4,1314,9.9,,61.6,77.7,-1.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|5,1328,8.4,,70.0,83.7,-0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,1.0|6,1212,8.3,,82.6,75.4,-0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|1,109,18.3,,103.5,96.2,1.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|2,193,10.9,,55.9,68.9,-1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|3,300,10.0,,80.3,101.8,1.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|4,472,8.5,,83.0,79.8,0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|5,621,7.1,,72.5,71.5,-1.0
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,10.0|6,716,5.4,,109.2,72.8,0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|1,98,12.2,,109.0,85.8,0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|2,146,13.0,,151.2,95.5,2.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|3,209,9.6,,62.5,74.8,-0.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|4,319,7.8,,79.2,88.4,0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|5,404,6.2,,95.2,94.5,1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,11.0|6,537,4.3,,59.6,74.9,-0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|1,71,22.5,,104.6,91.0,1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|2,88,6.8,,45.4,88.0,-0.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|3,155,9.7,,94.6,101.4,1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|4,247,8.5,,98.8,74.2,0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|5,339,7.7,,72.9,102.0,1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,12.0|6,382,5.2,,67.7,84.2,-0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|1,53,18.9,,88.1,81.5,0.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|2,76,14.5,,149.3,105.6,2.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|3,127,7.1,,108.6,88.4,0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|4,173,6.4,,38.8,70.9,-1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|5,238,4.2,,35.8,79.3,-0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,13.0|6,303,4.3,,74.2,78.7,-0.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|1,45,20.0,,100.9,89.8,0.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|2,65,15.4,,86.3,118.9,1.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|3,85,9.4,,68.2,51.7,-1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|4,132,6.1,,40.9,60.7,-1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|5,151,7.9,,90.9,84.2,0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,14.0|6,248,2.4,,33.4,62.9,-1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|1,37,21.6,,89.4,89.3,0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|2,42,11.9,,105.1,94.6,0.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|3,58,8.6,,54.7,58.8,-0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|4,76,6.6,,63.1,75.3,-0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|5,104,7.7,,86.6,63.1,-0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,15.0|6,130,1.5,,9.5,43.2,-1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,16.0|3,31,16.1,,81.6,93.6,0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,16.0|4,39,15.4,,107.1,63.7,-0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,16.0|5,68,13.2,,111.7,73.0,0.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,16.0|6,103,9.7,,174.9,87.4,1.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|1,6213,31.7,,75.9,83.8,0.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|2,3649,19.2,,69.1,80.0,-1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|3,2142,15.1,,70.9,79.9,-0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|4,1423,13.0,,61.1,68.7,-3.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|5,834,10.8,,66.2,78.2,-0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,2.0|6,572,9.4,,70.0,69.9,-1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|1,2970,26.6,,82.6,83.4,1.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|2,3231,18.1,,76.0,82.1,0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|3,2730,13.8,,73.6,80.7,-0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|4,2058,11.3,,83.9,76.3,-0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|5,1517,9.2,,92.0,77.6,0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,3.0|6,1105,8.3,,67.1,68.8,-2.0
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|1,1591,23.0,,80.4,82.1,0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|2,2229,16.3,,85.2,84.7,1.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|3,2371,13.5,,84.9,81.6,0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|4,2238,9.3,,69.9,79.2,-0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|5,1903,8.8,,76.6,74.8,-1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,4.0|6,1481,8.6,,95.7,82.1,1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|1,825,20.4,,74.3,79.8,-0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|2,1473,14.5,,90.7,87.2,2.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|3,1884,9.2,,66.2,74.9,-1.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|4,1996,8.1,,75.0,75.3,-1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|5,1934,7.4,,73.3,80.4,-0.4
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,5.0|6,1739,6.8,,68.6,79.2,-0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|1,510,19.4,,76.0,83.9,0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|2,867,13.5,,85.6,91.2,1.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|3,1277,10.2,,71.8,80.2,-0.5
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|4,1525,7.6,,85.0,86.5,1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|5,1633,6.6,,74.6,81.2,-0.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,6.0|6,1684,5.9,,95.1,82.9,1.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|1,311,20.9,,91.8,92.1,1.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|2,603,14.8,,96.8,86.9,1.7
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|3,914,10.0,,98.5,80.9,1.1
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|4,1159,7.5,,75.6,87.3,0.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|5,1364,5.6,,66.9,82.6,-0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,7.0|6,1409,6.0,,73.7,76.0,-0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|1,209,18.7,,88.3,86.7,0.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|2,420,13.3,,85.0,80.0,0.2
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|3,647,10.5,,107.9,95.7,2.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|4,875,8.0,,64.4,77.7,-0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|5,1060,6.3,,78.4,83.4,0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,8.0|6,1158,5.1,,87.3,70.2,-0.6
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|1,146,21.2,,83.7,91.5,0.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|2,298,14.1,,133.1,94.3,2.9
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|3,459,11.1,,93.0,94.6,1.8
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|4,616,7.6,,58.5,86.0,-0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|5,852,6.2,,68.4,88.6,0.3
SURFACE_2_ダ,prev1_chakujun+shirushi_code_2,9.0|6,972,5.6,,72.7,74.1,-0.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.0|3,169,0.6,,26.7,70.5,-0.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.0|4,135,2.2,,77.9,50.7,-0.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.1|3,5017,1.4,,78.4,80.1,-0.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.1|4,800,1.9,,102.1,57.0,-0.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.2|2,97,0.0,,0.0,32.1,-0.0
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.2|3,21349,1.7,,78.7,78.0,-0.6
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.2|4,1437,1.0,,53.8,60.1,-1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.3|2,40,2.5,,15.3,46.2,-0.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.3|3,8038,2.1,,75.4,75.0,-1.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.3|4,390,0.8,,6.8,58.4,-1.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.4|2,194,1.0,,26.7,69.8,-0.6
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.4|3,23608,2.8,,81.4,79.1,-0.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.4|4,742,2.7,,92.0,83.3,0.5
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.5|2,57,3.5,,130.5,156.4,1.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.5|3,5111,3.1,,71.4,76.2,-1.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.5|4,101,2.0,,75.2,68.1,-0.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.6|2,199,7.0,,106.5,98.0,1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.6|3,13354,4.0,,77.8,78.0,-0.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.6|4,206,5.8,,147.9,107.9,2.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.7|2,172,4.1,,83.4,61.4,-0.6
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.7|3,8477,5.0,,80.7,79.5,-0.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.7|4,106,6.6,,177.1,81.6,1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.8|2,259,8.1,,99.2,80.2,0.5
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.8|3,8686,6.1,,80.9,78.3,-0.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.8|4,64,6.2,,65.2,72.8,-0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.9|2,238,9.2,,128.9,80.9,1.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.9|3,7709,6.7,,75.7,77.6,-1.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,0.9|4,50,6.0,,92.0,66.4,-0.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.0|2,151,7.3,,51.6,85.7,-0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.0|3,3816,7.3,,76.4,80.0,-0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.1|2,309,7.4,,55.6,80.6,-0.6
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.1|3,6192,8.3,,77.3,79.3,-0.5
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.1|4,31,9.7,,155.2,108.5,1.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.2|2,232,9.1,,60.2,85.3,-0.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.2|3,3963,9.0,,74.7,74.5,-1.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.3|2,293,7.5,,53.0,67.0,-1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.3|3,4644,9.2,,76.4,76.1,-1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.4|1,32,9.4,,33.3,67.4,-0.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.4|2,560,10.9,,63.0,73.3,-1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.4|3,6759,11.6,,84.0,77.3,-0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.5|2,202,9.4,,63.7,72.7,-0.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.5|3,2128,10.9,,72.9,80.0,-0.6
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.6|1,47,12.8,,49.7,52.2,-1.2
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.6|2,838,13.2,,66.3,70.0,-2.1
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.6|3,7001,13.9,,77.2,78.8,-0.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.7|2,231,10.4,,74.0,74.2,-0.5
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.7|3,1694,12.9,,65.0,76.6,-1.8
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.8|2,262,13.4,,60.9,68.7,-1.4
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.8|3,1775,14.9,,80.2,81.3,0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.9|1,50,20.0,,73.2,84.0,0.0
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.9|2,418,18.4,,84.3,81.3,0.3
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,1.9|3,2855,16.6,,83.7,84.6,1.7
SURFACE_2_ダ,kishu_shisu+kyusha_hyoka_code,2.0|2,129,18.6,,70.2,76.9,-0.4
