rank,source,segment,factor,factor_type,grade,mark,score_std,n_bins,edge_bins,avg_win_roi,avg_place_roi,best_bin_win_roi,best_bin_place_roi,total_samples
1,phase1,KEIBAJO_SURFACE_03_芝,kishu_minarai_code,numeric,S,★★★,7.09,4,2,104.2,76.5,213.3,103.9,2552
2,phase1,KEIBAJO_SURFACE_01_芝,sanchimei,code,S,★★★,6.5,14,2,78.6,82.2,303.0,145.9,8074
3,phase1,KEIBAJO_SURFACE_04_障,shirushi_code_1,numeric,S,★★★,5.975,6,1,103.7,80.6,235.0,94.2,1389
4,phase1,KEIBAJO_SURFACE_05_芝,chokyo_yajirushi_code,numeric,S,★★★,5.966,3,1,105.1,75.9,189.2,78.8,2355
5,phase1,KEIBAJO_SURFACE_04_障,gekiso_type,code,S,★★★,5.792,6,3,76.2,75.1,157.3,103.5,947
6,phase1,SURFACE_2_ダ,sanchimei,code,S,★★★,5.599,22,3,80.2,81.8,298.2,182.8,34029
7,phase1,KEIBAJO_SURFACE_05_芝,nyukyu_nannichimae,numeric,S,★★★,5.598,10,3,90.1,82.2,231.4,133.3,1299
8,phase1,KEIBAJO_SURFACE_05_ダ,uma_tokki_3,numeric,S,★★★,5.475,8,2,90.4,74.9,204.5,115.1,1333
9,phase1,KEIBAJO_SURFACE_04_障,hizume_code,numeric,S,★★★,5.279,8,3,94.1,85.0,216.5,146.3,2166
10,phase1,KEIBAJO_SURFACE_04_障,nyukyu_nannichimae,numeric,S,★★★,5.128,10,5,103.4,84.3,175.1,128.4,1277
11,phase1,KEIBAJO_SURFACE_05_ダ,kyori_tekisei_2,numeric,A,★★,4.998,3,1,91.2,94.5,158.7,129.2,582
12,phase1,KEIBAJO_SURFACE_03_芝,shutoku_shokin_ruikei,numeric,A,★★,4.785,5,1,104.5,82.0,199.1,92.6,12217
13,phase1,KEIBAJO_SURFACE_04_障,uma_tokki_2,numeric,A,★★,4.649,10,3,97.6,85.8,166.8,108.4,1944
14,phase1,KEIBAJO_SURFACE_03_障,moshoku_code,numeric,A,★★,4.636,4,1,103.1,92.7,181.8,111.6,1551
15,phase1,KEIBAJO_SURFACE_03_障,joho_shisu,numeric,A,★★,4.571,8,1,96.3,82.7,213.4,108.6,1551
16,phase1,SURFACE_2_芝,kishu_minarai_code,numeric,A,★★,4.569,4,1,89.9,74.8,166.2,98.0,7409
17,phase1,KEIBAJO_SURFACE_04_芝,kishu_minarai_code,numeric,A,★★,4.567,4,1,91.1,80.3,170.1,119.4,2683
18,phase1,KEIBAJO_SURFACE_04_障,kishu_rank,code,A,★★,4.509,5,2,73.0,78.8,119.7,90.8,2167
19,phase1,KEIBAJO_SURFACE_04_障,ninki_shisu,numeric,A,★★,4.497,10,4,92.4,82.8,171.8,99.2,2167
20,phase1,KEIBAJO_SURFACE_05_芝,taikei_tomo,numeric,A,★★,4.426,8,1,67.9,79.1,181.1,105.7,1973
21,phase1,KEIBAJO_SURFACE_04_障,uma_tokki_3,numeric,A,★★,4.379,10,3,93.1,85.7,185.2,99.7,1700
22,phase1,KEIBAJO_SURFACE_03_ダ,kishu_minarai_code,numeric,A,★★,4.371,4,1,100.1,82.1,165.4,102.4,2798
23,phase1,KEIBAJO_SURFACE_03_障,nyukyu_nannichimae,numeric,A,★★,4.349,10,3,83.6,81.1,155.9,112.2,851
24,phase1,KEIBAJO_SURFACE_03_障,idm,numeric,A,★★,4.334,9,2,84.2,76.3,183.7,89.2,1551
25,phase1,KEIBAJO_SURFACE_04_障,manken_shirushi,numeric,A,★★,4.331,7,4,101.0,81.3,164.0,112.3,1352
26,phase1,KEIBAJO_SURFACE_02_芝,babajotai_heavy,code,A,★★,4.317,3,1,105.8,84.9,166.7,100.6,6449
27,phase1,KEIBAJO_SURFACE_05_ダ,uma_deokure_ritsu,numeric,A,★★,4.294,7,1,77.4,79.6,176.3,104.1,2611
28,phase1,KEIBAJO_SURFACE_03_障,manken_shirushi,numeric,A,★★,4.283,7,1,64.7,77.8,150.6,97.2,953
29,phase1,KEIBAJO_SURFACE_04_障,taikei_tomo,numeric,A,★★,4.175,10,3,91.6,81.9,166.3,100.1,2150
30,phase1,KEIBAJO_SURFACE_04_障,manken_shisu,numeric,A,★★,4.165,10,4,93.8,84.7,172.2,106.0,2157
31,phase1,KEIBAJO_SURFACE_02_ダ,sanchimei,code,A,★★,4.16,11,2,71.3,72.5,155.2,85.1,4335
32,phase1,GLOBAL,sanchimei,code,A,★★,4.144,26,3,76.5,78.5,193.1,120.1,81716
33,phase1,KEIBAJO_SURFACE_01_ダ,nyukyu_nannichimae,numeric,A,★★,4.114,10,3,92.2,83.1,169.0,106.5,2122
34,phase1,KEIBAJO_SURFACE_04_障,gekiso_shisu,numeric,A,★★,4.088,10,4,93.4,82.9,181.8,102.2,2167
35,phase1,KEIBAJO_SURFACE_04_障,kijun_odds_fukusho,numeric,A,★★,4.074,10,3,90.9,82.6,188.5,131.0,2167
36,phase1,KEIBAJO_SURFACE_03_障,sogo_shisu,numeric,A,★★,4.001,10,1,85.9,81.7,199.7,108.2,1551
37,phase1,KEIBAJO_SURFACE_05_芝,uma_tokki_3,numeric,A,★★,3.979,9,1,69.0,82.9,175.1,97.8,1105
38,phase1,KEIBAJO_SURFACE_01_ダ,sanchimei,code,A,★★,3.96,12,2,86.2,81.0,194.0,98.5,5660
39,phase1,KEIBAJO_SURFACE_03_障,prev2_chakujun,numeric,A,★★,3.89,10,2,82.9,80.5,167.6,93.2,1550
40,phase1,KEIBAJO_SURFACE_05_芝,barei,numeric,A,★★,3.865,5,1,67.7,81.1,121.6,91.6,2355
41,phase1,KEIBAJO_SURFACE_05_芝,tenkai_kigo_code,numeric,A,★★,3.862,3,1,85.7,79.3,140.3,87.5,2355
42,phase1,KEIBAJO_SURFACE_04_障,prev1_bataiju,numeric,A,★★,3.828,10,4,93.7,83.3,187.2,98.1,2167
43,phase1,KEIBAJO_SURFACE_04_障,kijun_ninkijun_fukusho,numeric,A,★★,3.809,10,4,91.3,81.0,166.6,124.1,2167
44,phase1,KEIBAJO_SURFACE_04_障,kijun_ninkijun_tansho,numeric,A,★★,3.803,10,4,91.5,81.1,166.6,124.0,2167
45,phase1,KEIBAJO_SURFACE_03_障,hobokusaki_rank,code,A,★★,3.802,5,1,79.7,75.7,137.7,88.0,1478
46,phase1,KEIBAJO_SURFACE_04_障,uma_tokki_1,numeric,A,★★,3.772,10,4,94.0,83.7,162.2,93.6,2083
47,phase1,KEIBAJO_SURFACE_01_ダ,uma_tokki_3,numeric,A,★★,3.77,9,2,72.0,82.8,135.3,102.3,2631
48,phase1,KEIBAJO_SURFACE_05_ダ,nyukyu_nannichimae,numeric,A,★★,3.739,10,3,85.4,86.0,142.3,129.7,1367
49,phase1,KEIBAJO_SURFACE_04_障,kyakushitsu,numeric,A,★★,3.686,3,1,99.1,87.5,148.9,123.5,2167
50,phase1,KEIBAJO_SURFACE_03_障,prev1_bataiju,numeric,A,★★,3.684,10,1,80.2,81.1,187.2,108.7,1550
51,phase1,KEIBAJO_SURFACE_04_障,prev3_chakujun,numeric,A,★★,3.673,10,4,97.5,85.5,161.6,120.9,2165
52,phase1,KEIBAJO_SURFACE_05_芝,ichi_shisu,numeric,A,★★,3.671,10,2,66.2,78.2,132.7,94.1,2355
53,phase1,KEIBAJO_SURFACE_03_障,kyusha_shisu,numeric,A,★★,3.669,10,2,82.0,80.5,154.2,101.5,1551
54,phase1,KEIBAJO_SURFACE_05_ダ,uma_tokki_1,numeric,A,★★,3.635,10,1,72.4,76.3,154.4,94.4,2406
55,phase1,KEIBAJO_SURFACE_04_障,sogo_shisu,numeric,A,★★,3.622,10,2,87.9,82.6,175.7,105.0,2167
56,phase1,KEIBAJO_SURFACE_03_障,prev1_chakujun,numeric,A,★★,3.612,10,4,83.3,81.5,147.4,135.9,1551
57,phase1,KEIBAJO_SURFACE_02_芝,nyukyu_nannichimae,numeric,A,★★,3.606,10,4,88.0,76.5,163.8,103.2,3103
58,phase1,KEIBAJO_SURFACE_05_芝,agari_shisu,numeric,A,★★,3.597,10,2,70.7,78.3,141.1,101.5,2355
59,phase1,KEIBAJO_SURFACE_04_障,futan_juryo,numeric,A,★★,3.583,4,1,72.5,72.6,105.6,88.7,2167
60,phase1,KEIBAJO_SURFACE_04_障,bac_tosu,numeric,A,★★,3.567,5,3,109.9,84.4,170.6,88.3,2167
61,phase1,KEIBAJO_SURFACE_02_芝,gekiso_type,code,A,★★,3.565,6,3,97.7,84.9,152.7,112.3,2708
62,phase1,KEIBAJO_SURFACE_04_障,yy_int,numeric,A,★★,3.554,8,2,89.0,83.4,175.8,117.9,2167
63,phase1,KEIBAJO_SURFACE_05_芝,chokyo_shisu,numeric,A,★★,3.537,10,1,69.9,77.7,157.3,97.5,2355
64,phase1,KEIBAJO_SURFACE_05_芝,yoso_juni,numeric,A,★★,3.53,10,3,71.9,78.5,144.2,108.0,2355
65,phase1,KEIBAJO_SURFACE_04_障,kishu_kitai_rentai_ritsu,numeric,A,★★,3.529,10,5,92.9,82.4,174.3,104.4,2167
66,phase1,KEIBAJO_SURFACE_02_ダ,chokyo_shisu,numeric,A,★★,3.475,10,1,73.9,73.9,162.9,85.6,4335
67,phase1,KEIBAJO_SURFACE_04_障,kishu_kitai_tansho_ritsu,numeric,A,★★,3.468,10,4,93.9,84.9,144.2,127.7,2167
68,phase1,KEIBAJO_SURFACE_05_芝,uma_tokki_1,numeric,A,★★,3.44,10,1,61.3,77.1,152.6,105.7,1853
69,phase1,KEIBAJO_SURFACE_04_障,kishu_kitai_sanchakunai_ritsu,numeric,A,★★,3.433,10,4,92.9,82.8,171.4,94.6,2167
70,phase1,KEIBAJO_SURFACE_03_障,yoso_juni,numeric,A,★★,3.423,10,2,79.6,80.7,140.9,117.6,1551
71,phase1,KEIBAJO_SURFACE_03_障,kijun_odds_fukusho,numeric,A,★★,3.399,10,3,81.7,80.7,129.2,104.9,1551
72,phase1,KEIBAJO_SURFACE_02_芝,ls_shisu_juni,numeric,A,★★,3.356,5,1,82.4,78.4,144.4,92.3,6449
73,phase1,KEIBAJO_SURFACE_03_障,kishu_kitai_tansho_ritsu,numeric,A,★★,3.345,10,3,77.6,80.9,118.2,104.0,1551
74,phase1,KEIBAJO_SURFACE_05_ダ,goal_juni,numeric,A,★★,3.339,10,2,72.9,77.2,149.0,97.5,2857
75,phase1,KEIBAJO_SURFACE_05_ダ,idm,numeric,A,★★,3.324,10,2,73.8,77.9,154.0,92.9,2857
76,phase1,KEIBAJO_SURFACE_04_障,joa_ls_shisu,numeric,A,★★,3.318,5,1,88.3,82.8,145.3,111.6,2167
77,phase1,KEIBAJO_SURFACE_05_芝,kohan_3f_juni,numeric,A,★★,3.31,10,3,72.2,76.8,123.8,100.6,2355
78,phase1,KEIBAJO_SURFACE_04_障,prev1_corner4,numeric,A,★★,3.304,9,3,98.6,88.9,186.7,171.1,2167
79,phase1,KEIBAJO_SURFACE_05_芝,kyakushitsu,numeric,A,★★,3.3,4,1,74.7,79.5,117.0,90.6,2355
80,phase1,KEIBAJO_SURFACE_03_ダ,sanchimei,code,A,★★,3.283,13,2,71.4,79.4,120.0,104.2,9276
81,phase1,KEIBAJO_SURFACE_04_障,sanchimei,code,A,★★,3.273,9,2,74.8,75.9,125.9,95.4,2167
82,phase1,KEIBAJO_SURFACE_05_ダ,agari_shisu,numeric,A,★★,3.259,10,2,73.3,78.4,136.0,94.9,2857
83,phase1,KEIBAJO_SURFACE_05_ダ,kijun_odds_fukusho,numeric,A,★★,3.258,10,2,72.8,77.6,141.5,97.3,2857
84,phase1,KEIBAJO_SURFACE_04_障,kijun_odds_tansho,numeric,A,★★,3.245,10,3,91.3,82.8,150.1,131.3,2167
85,phase1,KEIBAJO_SURFACE_04_障,joa_odds_shisu,numeric,A,★★,3.245,10,3,91.3,82.8,150.1,131.3,2167
86,phase1,KEIBAJO_SURFACE_04_障,kakutoku_shokin_ruikei,numeric,A,★★,3.243,10,4,92.6,82.8,162.0,101.2,2167
87,phase1,KEIBAJO_SURFACE_04_障,yoso_juni,numeric,A,★★,3.211,10,4,90.4,82.8,147.7,109.8,2167
88,phase1,KEIBAJO_SURFACE_03_障,chokyoshi_rank,code,A,★★,3.199,5,1,82.4,81.4,134.2,91.3,1550
89,phase1,KEIBAJO_SURFACE_02_ダ,taikei_tomo,numeric,A,★★,3.179,10,1,70.2,73.4,143.7,82.2,3981
90,phase1,KEIBAJO_SURFACE_03_ダ,barei,numeric,A,★★,3.17,4,1,83.2,80.1,120.0,88.6,9276
91,phase1,KEIBAJO_SURFACE_05_ダ,kijun_odds_tansho,numeric,A,★★,3.157,10,1,73.0,78.0,158.5,88.7,2857
92,phase1,KEIBAJO_SURFACE_05_ダ,joa_odds_shisu,numeric,A,★★,3.157,10,1,73.0,78.0,158.5,88.7,2857
93,phase1,KEIBAJO_SURFACE_05_芝,prev2_chakujun,numeric,A,★★,3.153,9,1,60.3,78.9,135.6,120.8,1832
94,phase1,KEIBAJO_SURFACE_05_芝,agari_shisu_juni,numeric,A,★★,3.149,9,1,72.6,78.3,148.8,98.2,2355
95,phase1,KEIBAJO_SURFACE_05_芝,kijun_odds_tansho,numeric,A,★★,3.132,10,2,70.2,77.7,123.4,94.6,2355
96,phase1,KEIBAJO_SURFACE_05_芝,joa_odds_shisu,numeric,A,★★,3.132,10,2,70.2,77.7,123.4,94.6,2355
97,phase1,KEIBAJO_SURFACE_02_芝,prev1_chakujun,numeric,A,★★,3.122,10,3,91.0,80.3,158.3,89.9,5720
98,phase1,KEIBAJO_SURFACE_03_障,kishu_kitai_rentai_ritsu,numeric,A,★★,3.094,10,1,74.7,76.1,111.4,98.0,1551
99,phase1,KEIBAJO_SURFACE_03_障,uma_tokki_1,numeric,A,★★,3.08,10,1,83.4,85.1,168.0,106.5,1492
100,phase1,KEIBAJO_SURFACE_02_ダ,yoso_juni,numeric,A,★★,3.079,10,1,73.5,73.1,138.0,87.2,4335
101,phase1,KEIBAJO_SURFACE_05_芝,gekiso_juni,numeric,A,★★,3.064,10,1,73.7,78.3,151.0,98.7,2355
102,phase1,KEIBAJO_SURFACE_02_ダ,kyori_tekisei_2,numeric,A,★★,3.064,3,1,77.7,61.5,109.7,74.7,371
103,phase1,KEIBAJO_SURFACE_02_ダ,gekiso_type,code,A,★★,3.063,6,1,55.2,62.7,110.9,75.3,1938
104,phase1,KEIBAJO_SURFACE_04_障,prev1_chakujun,numeric,A,★★,3.055,10,3,93.7,84.2,175.1,107.0,2167
105,phase1,KEIBAJO_SURFACE_05_芝,prev1_keibajo,numeric,A,★★,3.053,6,1,69.3,79.0,109.9,98.8,2020
106,phase1,KEIBAJO_SURFACE_03_障,manken_shisu,numeric,A,★★,3.052,10,2,77.3,79.5,139.1,92.0,1503
107,phase1,KEIBAJO_SURFACE_05_芝,goal_sa,numeric,A,★★,3.027,9,2,70.7,78.2,132.2,101.1,2355
108,phase1,KEIBAJO_SURFACE_02_ダ,uma_tokki_3,numeric,A,★★,3.018,9,1,68.2,66.5,133.8,82.3,1934
109,phase1,KEIBAJO_SURFACE_05_芝,sogo_shisu,numeric,A,★★,3.016,10,2,70.8,78.0,133.7,85.6,2355
110,phase1,KEIBAJO_SURFACE_05_芝,dochu_juni,numeric,A,★★,3.014,10,2,64.9,77.0,103.3,104.5,2355
111,phase1,KEIBAJO_SURFACE_02_芝,barei,numeric,A,★★,3.008,4,1,90.9,76.1,139.8,79.7,6449
112,phase1,KEIBAJO_SURFACE_03_障,kyori,numeric,B,★,2.986,3,1,86.9,90.2,126.2,115.6,1551
113,phase1,KEIBAJO_SURFACE_05_芝,uma_tokki_2,numeric,B,★,2.985,9,1,68.6,76.1,121.3,104.6,1519
114,phase1,KEIBAJO_SURFACE_02_芝,kyori_tekisei_2,numeric,B,★,2.979,3,1,88.2,79.3,130.2,85.7,930
115,phase1,KEIBAJO_SURFACE_02_芝,uma_tokki_1,numeric,B,★,2.973,10,2,83.4,78.4,142.3,93.5,4915
116,phase1,KEIBAJO_SURFACE_03_障,kyi_kyusha_rank,numeric,B,★,2.965,6,2,86.6,79.2,139.3,90.1,1551
117,phase1,KEIBAJO_SURFACE_05_ダ,sanchimei,code,B,★,2.965,10,0,57.6,72.4,93.2,90.5,2857
118,phase1,GLOBAL,kishu_minarai_code,numeric,B,★,2.948,4,1,81.9,76.4,125.9,85.6,17199
119,phase1,KEIBAJO_SURFACE_04_障,uma_deokure_ritsu,numeric,B,★,2.947,9,5,97.2,85.6,124.0,108.3,2166
120,phase1,KEIBAJO_SURFACE_05_ダ,uma_start_shisu,numeric,B,★,2.943,8,1,71.0,77.7,128.4,94.3,2598
121,phase1,KEIBAJO_SURFACE_04_障,prev1_bataiju_bin,numeric,B,★,2.939,5,2,94.0,81.3,142.2,96.3,2167
122,phase1,KEIBAJO_SURFACE_02_ダ,goal_juni,numeric,B,★,2.936,10,3,70.7,72.6,114.2,84.0,4335
123,phase1,KEIBAJO_SURFACE_02_ダ,chokyo_yajirushi_code,numeric,B,★,2.935,3,1,93.7,91.4,135.1,121.9,4335
124,phase1,KEIBAJO_SURFACE_05_芝,prev1_corner4,numeric,B,★,2.933,10,1,60.8,79.0,121.0,120.3,2020
125,phase1,KEIBAJO_SURFACE_04_障,bataiju_change_bin,numeric,B,★,2.928,3,1,77.2,77.4,101.4,89.9,2167
126,phase1,KEIBAJO_SURFACE_01_ダ,kyori_tekisei_2,numeric,B,★,2.925,3,0,47.1,77.9,76.5,84.7,681
127,phase1,KEIBAJO_SURFACE_02_ダ,dochu_sa,numeric,B,★,2.922,9,1,71.6,72.1,135.0,82.0,4335
128,phase1,KEIBAJO_SURFACE_03_障,uma_tokki_2,numeric,B,★,2.914,10,3,84.1,81.6,130.0,116.0,1360
129,phase1,KEIBAJO_SURFACE_05_芝,prev3_chakujun,numeric,B,★,2.912,9,1,62.8,80.6,137.9,116.0,1642
130,phase1,KEIBAJO_SURFACE_05_芝,pace_shisu_juni,numeric,B,★,2.903,10,2,70.1,78.1,113.4,100.2,2355
131,phase1,KEIBAJO_SURFACE_03_障,yy_int,numeric,B,★,2.895,9,3,86.0,78.1,135.3,95.0,1551
132,phase1,KEIBAJO_SURFACE_05_ダ,kishu_kitai_tansho_ritsu,numeric,B,★,2.895,10,1,73.1,78.0,152.0,87.2,2857
133,phase1,KEIBAJO_SURFACE_04_障,kishu_shisu,numeric,B,★,2.871,9,3,89.2,82.6,141.9,91.7,2167
134,phase1,KEIBAJO_SURFACE_03_ダ,prev1_bataiju_bin,numeric,B,★,2.871,6,3,84.0,82.5,117.0,89.6,8773
135,phase1,KEIBAJO_SURFACE_04_ダ,kyori_tekisei_2,numeric,B,★,2.853,3,0,68.8,78.1,99.7,88.6,1439
136,phase1,KEIBAJO_SURFACE_05_ダ,goal_sa,numeric,B,★,2.852,10,1,71.1,76.8,133.3,97.2,2857
137,phase1,KEIBAJO_SURFACE_03_ダ,prev1_corner4,numeric,B,★,2.852,10,2,87.3,80.3,138.3,97.7,8773
138,phase1,KEIBAJO_SURFACE_02_芝,sanchimei,code,B,★,2.852,14,4,83.4,77.7,141.0,107.3,6449
139,phase1,KEIBAJO_SURFACE_03_障,umaban_clean,numeric,B,★,2.851,10,2,76.6,80.1,121.9,126.7,1551
140,phase1,KEIBAJO_SURFACE_03_障,kakutoku_shokin_ruikei,numeric,B,★,2.849,9,2,82.2,82.4,134.8,108.0,1551
141,phase1,KEIBAJO_SURFACE_05_ダ,dochu_juni,numeric,B,★,2.845,10,2,71.7,76.9,122.7,90.5,2857
142,phase1,KEIBAJO_SURFACE_05_ダ,joho_shisu,numeric,B,★,2.835,8,1,78.8,77.3,150.4,94.9,2857
143,phase1,KEIBAJO_SURFACE_02_芝,uma_tokki_2,numeric,B,★,2.835,10,3,88.7,82.0,141.4,104.1,3988
144,phase1,KEIBAJO_SURFACE_04_障,kyori,numeric,B,★,2.818,3,1,87.5,76.1,119.9,84.4,2167
145,phase1,KEIBAJO_SURFACE_03_ダ,chokyo_yajirushi_code,numeric,B,★,2.814,3,0,67.6,75.1,92.0,86.3,9276
146,phase1,KEIBAJO_SURFACE_01_ダ,goal_sa,numeric,B,★,2.809,9,2,77.8,82.3,130.8,102.1,5660
147,phase1,KEIBAJO_SURFACE_05_芝,ninki_shisu,numeric,B,★,2.804,10,2,70.8,78.1,106.2,97.3,2355
148,phase1,KEIBAJO_SURFACE_04_障,shirushi_code_5,numeric,B,★,2.802,5,1,96.7,83.4,149.0,96.3,1187
149,phase1,KEIBAJO_SURFACE_05_芝,kishu_kitai_tansho_ritsu,numeric,B,★,2.791,10,1,70.3,77.3,112.2,89.9,2355
150,phase1,KEIBAJO_SURFACE_05_芝,kakutoku_shokin_ruikei,numeric,B,★,2.749,9,1,66.3,77.8,130.1,93.9,2355
151,phase1,KEIBAJO_SURFACE_05_芝,wakuban,numeric,B,★,2.736,7,1,71.2,78.7,118.8,93.5,2355
152,phase1,KEIBAJO_SURFACE_05_芝,kohan_3f_sa,numeric,B,★,2.734,9,1,60.5,73.0,110.0,96.9,2355
153,phase1,KEIBAJO_SURFACE_01_芝,uma_tokki_3,numeric,B,★,2.725,10,2,69.0,74.0,119.7,92.4,3801
154,phase1,KEIBAJO_SURFACE_03_芝,hizume_code,numeric,B,★,2.722,8,1,83.7,85.3,144.3,118.6,10566
155,phase1,KEIBAJO_SURFACE_02_ダ,uma_tokki_2,numeric,B,★,2.716,10,2,68.3,73.2,120.5,84.6,2877
156,phase1,KEIBAJO_SURFACE_05_芝,gekiso_type,code,B,★,2.711,6,0,46.6,61.9,85.9,95.1,908
157,phase1,KEIBAJO_SURFACE_05_芝,ten_shisu,numeric,B,★,2.705,10,2,70.7,78.2,118.8,95.4,2355
158,phase1,KEIBAJO_SURFACE_02_ダ,manken_shisu,numeric,B,★,2.702,10,2,72.1,73.9,120.9,82.3,4335
159,phase1,KEIBAJO_SURFACE_03_ダ,pace_shisu_juni,numeric,B,★,2.691,10,2,88.2,81.3,153.2,100.2,9276
160,phase1,KEIBAJO_SURFACE_03_障,kishu_rank,code,B,★,2.69,5,1,71.1,77.9,119.1,87.1,1551
