adoption_rank,rank,source,segment,factors,type,grade,score_std,total_bins,valid_bins,pass_bins,pass_rate,decision,avg_place_roi,avg_win_roi,best_place_roi,best_win_roi,total_samples
1545,3118,phase2,GLOBAL,prev3_chakujun+shirushi_code_3,combo,C,1.831,104,96,47,0.4896,検討,79.2,79.7,106.2,172.8,143484
1546,4640,phase1,KEIBAJO_SURFACE_07_ダ,ichi_shisu,numeric,C,0.87,157,94,46,0.4894,検討,80.3,75.5,158.6,546.9,21346
1547,5185,phase1,KEIBAJO_SURFACE_06_ダ,chokyo_shisu,numeric,C,0.624,321,47,23,0.4894,検討,78.4,80.8,282.5,362.0,30839
1548,2443,phase2,SURFACE_2_芝,bac_tosu+chokyo_yajirushi_code,combo,B,2.36,52,47,23,0.4894,検討,77.6,71.1,112.0,115.4,170977
1549,1270,phase2,SURFACE_2_ダ,barei+prev2_chakujun,combo,A,3.498,112,94,46,0.4894,検討,75.9,72.3,151.2,234.3,151215
1550,2625,phase2,GLOBAL,manken_shisu+shirushi_code_4,combo,B,2.212,396,325,159,0.4892,検討,79.5,79.7,134.6,218.9,192399
1551,3273,phase2,SURFACE_2_ダ,prev2_chakujun+shirushi_code_6,combo,C,1.702,96,92,45,0.4891,検討,80.0,79.0,108.4,155.8,80779
1552,3146,phase2,SURFACE_2_ダ,prev3_chakujun+shirushi_code_6,combo,C,1.804,96,92,45,0.4891,検討,79.9,79.1,103.1,142.2,72918
1553,484,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev2_chakujun,combo,A,4.578,256,229,112,0.4891,検討,79.6,78.3,209.1,404.8,151215
1554,2004,phase2,GLOBAL,rotation+shirushi_code_5,combo,B,2.763,198,137,67,0.4891,検討,77.7,74.5,140.9,202.7,175286
1555,2013,phase2,GLOBAL,hizume_code+manken_shirushi,combo,B,2.757,144,135,66,0.4889,検討,80.4,78.9,113.0,237.1,205177
1556,2897,phase2,SURFACE_2_芝,hobokusaki_rank+kishu_shisu,combo,B,2.008,164,135,66,0.4889,検討,80.2,76.6,110.1,214.7,162101
1557,1469,phase2,SURFACE_2_芝,manken_shisu+shirushi_code_1,combo,A,3.272,416,315,154,0.4889,検討,78.9,78.3,137.6,281.1,105038
1558,4791,phase1,KEIBAJO_SURFACE_09_芝,ichi_shisu,numeric,C,0.8,139,90,44,0.4889,検討,78.2,79.6,238.7,392.6,21956
1559,255,phase2,SURFACE_2_ダ,gekiso_type+prev1_bataiju_bin,combo,S,5.184,51,45,22,0.4889,検討,78.1,82.9,111.4,319.1,64097
1560,2939,phase2,GLOBAL,joho_shisu+shirushi_code_1,combo,C,1.971,317,262,128,0.4885,検討,79.1,77.6,126.8,210.5,223147
1561,480,phase2,GLOBAL,hizume_code+hobokusaki_rank,combo,A,4.581,95,86,42,0.4884,検討,79.5,81.2,164.2,463.5,307800
1562,5219,phase1,KEIBAJO_SURFACE_08_ダ,ninki_shisu,numeric,C,0.613,194,43,21,0.4884,検討,79.2,81.9,157.4,330.0,21508
1563,2200,phase2,SURFACE_2_芝,hizume_code+kyusha_hyoka_code,combo,B,2.6,56,43,21,0.4884,検討,78.7,78.5,111.1,150.0,147248
1564,3285,phase2,GLOBAL,bac_jouken+prev3_chakujun,combo,C,1.696,90,86,42,0.4884,検討,78.7,80.9,105.5,126.1,269565
1565,2534,phase2,SURFACE_2_芝,class_code+shirushi_code_3,combo,B,2.286,99,84,41,0.4881,検討,78.9,77.4,116.1,178.9,81205
1566,1741,phase2,SURFACE_2_芝,kishu_shisu+prev3_chakujun,combo,A,3.013,411,287,140,0.4878,検討,80.2,78.8,144.1,245.8,120239
1567,2426,phase2,SURFACE_2_芝,joken_class_code+prev2_chakujun,combo,B,2.376,89,82,40,0.4878,検討,79.3,81.5,116.2,170.5,133011
1568,1148,phase2,SURFACE_2_芝,kyusha_hyoka_code+prev1_keibajo,combo,A,3.638,53,41,20,0.4878,検討,78.9,74.8,152.0,199.4,148662
1569,2414,phase2,GLOBAL,kyori_tekisei+manken_shirushi,combo,B,2.387,48,41,20,0.4878,検討,78.6,84.3,96.8,190.2,224734
1570,2585,phase2,GLOBAL,class_code+shirushi_code_1,combo,B,2.24,202,164,80,0.4878,検討,77.6,74.8,125.9,202.1,202487
1571,163,phase2,SURFACE_2_ダ,manken_shirushi+prev1_keibajo,combo,S,5.508,87,80,39,0.4875,検討,81.3,85.0,192.0,489.2,104407
1572,2344,phase2,GLOBAL,kishu_shisu+prev1_bataiju_bin,combo,B,2.444,296,240,117,0.4875,検討,80.4,77.2,158.4,225.9,325243
1573,2361,phase2,SURFACE_2_ダ,prev2_chakujun+yy_int,combo,B,2.431,164,160,78,0.4875,検討,79.1,77.6,113.3,154.1,151215
1574,3824,phase1,KEIBAJO_SURFACE_04_芝,ichi_shisu,numeric,C,1.324,141,80,39,0.4875,検討,76.3,77.7,200.3,225.0,18170
1575,933,phase2,GLOBAL,babajotai_heavy+joa_ls_shisu,combo,A,3.933,434,273,133,0.4872,検討,79.9,79.6,198.9,473.8,360874
1576,1755,phase2,GLOBAL,bataiju_change_bin+prev2_chakujun,combo,B,2.999,92,78,38,0.4872,検討,79.3,79.2,125.1,178.1,295946
1577,2157,phase2,SURFACE_2_ダ,hobokusaki_rank+prev3_chakujun,combo,B,2.634,87,78,38,0.4872,検討,78.7,74.3,138.9,143.8,131084
1578,654,phase2,SURFACE_2_ダ,kishu_minarai_code+sanchimei,combo,A,4.297,53,39,19,0.4872,検討,74.2,77.2,111.8,188.2,33021
1579,4002,phase1,KEIBAJO_SURFACE_01_芝,manken_shisu,numeric,C,1.21,54,37,18,0.4865,検討,80.0,75.0,174.6,202.8,9819
1580,2080,phase2,SURFACE_2_芝,kishu_shisu+prev1_corner4,combo,B,2.697,489,333,162,0.4865,検討,79.3,77.7,146.8,212.8,148662
1581,736,phase2,SURFACE_2_芝,chokyo_yajirushi_code+rotation,combo,A,4.191,116,74,36,0.4865,検討,77.4,76.3,158.8,309.8,148680
1582,743,phase2,SURFACE_2_ダ,kishu_rank+uma_deokure_ritsu,combo,A,4.186,277,181,88,0.4862,検討,76.4,70.9,179.4,286.9,164669
1583,3800,phase2,SURFACE_2_ダ,kyori+shirushi_code_3,combo,C,1.336,72,72,35,0.4861,検討,80.5,77.8,122.8,137.8,94586
1584,3046,phase2,GLOBAL,prev1_corner4_bin+prev2_chakujun,combo,C,1.892,72,72,35,0.4861,検討,79.9,82.6,100.2,158.6,296151
1585,2892,phase2,SURFACE_2_ダ,bac_tosu+wakuban,combo,B,2.012,79,72,35,0.4861,検討,79.0,74.8,102.0,134.7,177971
1586,396,phase2,SURFACE_2_ダ,taikei_tomo+yoso_juni,combo,A,4.744,369,284,138,0.4859,検討,77.4,78.9,245.5,393.6,155620
1587,2271,phase2,GLOBAL,kyori_tekisei+shirushi_code_6,combo,B,2.533,36,35,17,0.4857,検討,80.5,83.3,101.2,196.1,192829
1588,4302,phase2,SURFACE_2_ダ,kyakushitsu+shirushi_code_1,combo,C,1.043,35,35,17,0.4857,検討,79.6,78.5,86.8,128.4,108471
1589,4839,phase2,SURFACE_2_ダ,joken_class_code+shirushi_code_1,combo,C,0.781,35,35,17,0.4857,検討,79.1,77.2,91.7,95.9,108475
1590,4960,phase2,SURFACE_2_芝,shirushi_code_1+yy_int,combo,C,0.725,70,70,34,0.4857,検討,79.1,78.7,87.6,95.7,106727
1591,1313,phase2,SURFACE_2_芝,bataiju_change_bin+kyi_kyusha_rank,combo,A,3.44,41,35,17,0.4857,検討,77.9,84.6,131.0,253.1,148239
1592,1758,phase2,SURFACE_2_ダ,class_code+shirushi_code_6,combo,B,2.994,97,70,34,0.4857,検討,77.2,78.8,111.1,209.7,88344
1593,1513,phase2,SURFACE_2_芝,barei+shirushi_code_5,combo,A,3.228,40,35,17,0.4857,検討,77.0,77.2,95.8,242.9,92944
1594,1682,phase2,GLOBAL,kishu_shisu+prev1_chakujun,combo,A,3.065,463,363,176,0.4848,検討,80.9,79.5,176.7,432.7,325448
1595,5155,phase1,KEIBAJO_SURFACE_09_芝,kishu_shisu,numeric,C,0.639,36,33,16,0.4848,検討,80.6,79.2,101.6,100.9,21956
1596,5279,phase1,KEIBAJO_SURFACE_09_ダ,agari_shisu,numeric,C,0.585,325,33,16,0.4848,検討,80.4,77.3,224.4,428.2,27915
1597,2697,phase2,GLOBAL,class_code+tenko_code,combo,B,2.16,121,99,48,0.4848,検討,80.0,77.4,153.6,149.6,325200
1598,2314,phase2,SURFACE_2_ダ,shirushi_code_5+taikei_tomo,combo,B,2.479,147,132,64,0.4848,検討,78.3,76.8,167.4,203.2,82512
1599,2680,phase2,SURFACE_2_芝,prev1_corner4+shirushi_code_5,combo,B,2.169,110,99,48,0.4848,検討,78.0,75.8,125.6,157.6,80793
1600,4378,phase1,KEIBAJO_SURFACE_09_芝,uma_tokki_1,numeric,C,0.996,88,33,16,0.4848,検討,76.3,78.1,148.2,358.6,14960
1601,5737,phase1,SURFACE_2_ダ,kishu_kitai_tansho_ritsu,numeric,C,0.284,354,196,95,0.4847,検討,81.0,77.9,121.8,214.4,177971
1602,226,phase2,SURFACE_2_芝,prev2_chakujun+prev3_chakujun,combo,S,5.268,274,229,111,0.4847,検討,80.8,81.8,285.7,462.2,120239
1603,486,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev2_chakujun,combo,A,4.576,255,229,111,0.4847,検討,79.8,78.6,207.7,405.9,151215
1604,138,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+shirushi_code_5,combo,S,5.642,77,64,31,0.4844,検討,80.9,81.7,132.0,500.3,92944
1605,3295,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev1_corner4_bin,combo,C,1.69,64,64,31,0.4844,検討,80.4,79.4,108.0,160.7,164860
1606,3272,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev1_corner4_bin,combo,C,1.703,64,64,31,0.4844,検討,80.3,79.4,109.6,160.4,164860
1607,1941,phase2,SURFACE_2_ダ,prev1_kyakushitsu+prev3_chakujun,combo,B,2.836,71,64,31,0.4844,検討,79.9,80.5,133.3,177.8,137407
1608,2238,phase2,GLOBAL,manken_shirushi+prev2_chakujun,combo,B,2.567,144,128,62,0.4844,検討,79.9,78.4,260.5,199.5,189532
1609,526,phase2,SURFACE_2_芝,kishu_shisu+yoso_juni,combo,A,4.493,417,318,154,0.4843,検討,79.3,80.6,211.1,839.7,170977
1610,204,phase2,GLOBAL,kijun_ninkijun_tansho+prev2_chakujun,combo,S,5.324,287,252,122,0.4841,検討,80.7,83.9,171.2,530.8,296151
1611,4785,phase1,KEIBAJO_SURFACE_08_芝,kishu_kitai_sanchakunai_ritsu,numeric,C,0.803,115,31,15,0.4839,検討,81.1,84.4,221.7,531.7,17759
1612,5070,phase1,SURFACE_2_芝,uma_tokki_3,numeric,C,0.678,146,93,45,0.4839,検討,79.8,79.3,185.9,371.5,73872
1613,3215,phase1,KEIBAJO_SURFACE_04_ダ,uma_deokure_ritsu,numeric,C,1.746,46,31,15,0.4839,検討,76.3,80.5,104.3,444.5,14031
1614,3542,phase2,SURFACE_2_ダ,prev3_chakujun+shirushi_code_4,combo,C,1.515,96,91,44,0.4835,検討,79.2,78.1,104.2,140.5,72899
1615,1394,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+kishu_shisu,combo,A,3.364,178,151,73,0.4834,検討,78.3,80.1,117.4,284.5,170977
1616,4842,phase2,SURFACE_2_芝,shirushi_code_3+yy_int,combo,C,0.78,60,60,29,0.4833,検討,79.3,77.5,87.8,94.2,93457
1617,719,phase2,GLOBAL,hizume_code+yoso_juni,combo,A,4.211,289,240,116,0.4833,検討,79.2,78.6,148.8,443.3,322746
1618,2887,phase2,GLOBAL,chokyo_yajirushi_code+prev1_chakujun,combo,B,2.017,68,60,29,0.4833,検討,77.2,77.6,96.6,140.2,325448
1619,2741,phase2,GLOBAL,prev1_keibajo+shirushi_code_4,combo,B,2.131,76,60,29,0.4833,検討,76.6,74.1,101.7,141.9,177078
1620,1238,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+kishu_minarai_code,combo,A,3.543,73,60,29,0.4833,検討,75.8,73.7,105.9,194.4,33021
1621,3004,phase2,GLOBAL,kishu_rank+kishu_shisu,combo,C,1.923,170,149,72,0.4832,検討,80.0,77.7,122.0,225.6,360573
1622,1277,phase2,GLOBAL,kyori+shirushi_code_3,combo,A,3.492,160,118,57,0.4831,検討,81.5,81.3,173.3,353.5,194934
1623,2429,ceo,SURFACE_2_ダ,chokyo_shisu,combo,B,2.375,379,354,171,0.4831,検討,79.4,77.9,120.6,173.7,177771
1624,5635,phase1,SURFACE_2_ダ,chokyo_shisu,numeric,C,0.364,379,354,171,0.4831,検討,79.4,77.9,120.6,173.7,177771
1625,2127,phase2,SURFACE_2_ダ,manken_shisu+shirushi_code_3,combo,B,2.657,348,265,128,0.483,検討,78.8,77.5,145.0,273.8,92898
1626,3675,phase2,SURFACE_2_ダ,bataiju_change_bin+shirushi_code_1,combo,C,1.418,35,29,14,0.4828,検討,80.5,75.0,92.4,109.5,101495
1627,2489,phase2,SURFACE_2_ダ,kyori_tekisei+shirushi_code_3,combo,B,2.315,35,29,14,0.4828,検討,79.7,84.9,131.5,176.9,92991
1628,2261,phase2,SURFACE_2_ダ,chokyo_yajirushi_code+kyi_kyusha_rank,combo,B,2.541,30,29,14,0.4828,検討,79.5,82.3,119.6,177.8,177873
1629,3751,phase1,KEIBAJO_SURFACE_08_芝,nyukyu_nannichimae,numeric,C,1.364,43,29,14,0.4828,検討,79.5,78.3,129.8,319.9,9684
1630,2710,phase2,SURFACE_2_ダ,kyi_kyusha_rank+kyusha_hyoka_code,combo,B,2.152,29,29,14,0.4828,検討,77.1,78.3,95.3,172.9,177873
1631,4457,phase1,KEIBAJO_SURFACE_09_芝,nyukyu_nannichimae,numeric,C,0.959,41,29,14,0.4828,検討,73.8,80.0,124.3,265.9,12269
1632,118,phase2,SURFACE_2_ダ,hizume_code+prev3_chakujun,combo,S,5.778,252,170,82,0.4824,検討,79.7,80.9,144.4,546.0,137130
1633,1983,phase2,GLOBAL,kyi_kyusha_rank+manken_shirushi,combo,B,2.784,59,56,27,0.4821,検討,81.4,84.1,140.2,221.9,227261
1634,2023,phase2,GLOBAL,kyusha_hyoka_code+prev3_chakujun,combo,B,2.748,66,56,27,0.4821,検討,81.2,82.8,154.5,199.8,269565
1635,2967,phase2,GLOBAL,hobokusaki_rank+kishu_shisu,combo,C,1.951,184,168,81,0.4821,検討,80.8,77.6,121.4,267.5,342345
1636,36,phase2,SURFACE_2_ダ,gekiso_type+nyukyu_nannichimae,combo,S,6.959,195,112,54,0.4821,検討,80.0,85.2,198.7,493.4,36119
1637,4307,phase2,SURFACE_2_ダ,shirushi_code_1+wakuban,combo,C,1.041,56,56,27,0.4821,検討,79.9,77.3,86.8,112.8,108475
1638,4831,phase2,SURFACE_2_芝,manken_shirushi+shirushi_code_1,combo,C,0.785,56,56,27,0.4821,検討,79.3,78.1,90.0,94.3,76187
1639,538,phase2,SURFACE_2_ダ,kishu_minarai_code+prev1_chakujun,combo,A,4.48,79,56,27,0.4821,検討,76.7,78.3,136.7,245.0,30853
1640,608,phase2,SURFACE_2_ダ,kishu_minarai_code+prev1_corner4,combo,A,4.359,77,56,27,0.4821,検討,76.7,75.1,146.3,272.2,30853
1641,2310,phase2,GLOBAL,barei+manken_shirushi,combo,B,2.483,64,56,27,0.4821,検討,75.5,73.0,105.8,143.3,227411
1642,2207,phase2,GLOBAL,rotation+shirushi_code_4,combo,B,2.598,198,139,67,0.482,検討,78.5,77.8,153.4,274.6,177095
1643,1536,phase2,SURFACE_2_芝,hizume_code+shirushi_code_1,combo,A,3.21,121,83,40,0.4819,検討,78.6,78.5,111.9,220.2,92287
1644,2397,phase2,SURFACE_2_芝,rotation+shirushi_code_4,combo,B,2.402,164,110,53,0.4818,検討,78.1,76.8,127.7,180.6,81532
1645,1670,phase2,GLOBAL,gekiso_type+shirushi_code_3,combo,A,3.072,29,27,13,0.4815,検討,83.9,82.9,127.4,184.6,48869
1646,3936,phase1,KEIBAJO_SURFACE_04_芝,nyukyu_nannichimae,numeric,C,1.261,42,27,13,0.4815,検討,79.6,89.9,128.9,538.4,11513
1647,4723,phase1,KEIBAJO_SURFACE_06_芝,idm,numeric,C,0.83,136,54,26,0.4815,検討,79.5,80.3,170.9,322.0,22719
1648,4747,phase1,KEIBAJO_SURFACE_09_芝,chokyo_shisu,numeric,C,0.821,308,27,13,0.4815,検討,78.7,81.0,182.0,340.2,21955
1649,2898,phase1,KEIBAJO_SURFACE_07_ダ,nyukyu_nannichimae,numeric,B,2.004,40,27,13,0.4815,検討,77.4,87.4,119.7,321.4,10612
1650,1881,phase2,SURFACE_2_芝,barei+prev1_kyakushitsu,combo,B,2.891,34,27,13,0.4815,検討,75.6,80.4,121.7,191.5,148662
1651,335,phase2,SURFACE_2_芝,hizume_code+taikei_tomo,combo,A,4.907,295,185,89,0.4811,検討,79.7,78.7,270.1,413.0,139442
1652,1377,phase2,SURFACE_2_芝,joho_shisu+shirushi_code_5,combo,A,3.382,227,183,88,0.4809,検討,81.4,80.4,153.4,349.8,92944
1653,4053,phase1,KEIBAJO_SURFACE_08_ダ,prev1_bataiju,numeric,C,1.176,67,52,25,0.4808,検討,81.1,81.6,163.3,376.0,19370
1654,3472,phase2,GLOBAL,babajotai_heavy+prev2_chakujun,combo,C,1.561,54,52,25,0.4808,検討,79.5,79.1,108.0,139.4,296151
1655,1708,phase2,SURFACE_2_芝,joken_class_code+prev1_keibajo,combo,A,3.044,61,52,25,0.4808,検討,78.3,80.5,229.5,238.8,148662
1656,3178,phase2,GLOBAL,prev1_corner4+shirushi_code_5,combo,C,1.781,110,102,49,0.4804,検討,78.6,75.8,106.2,139.8,175263
1657,727,phase2,SURFACE_2_芝,taikei_tomo+yoso_juni,combo,A,4.206,376,254,122,0.4803,検討,77.5,75.1,165.6,271.0,139970
1658,404,phase2,GLOBAL,kijun_ninkijun_tansho+prev3_chakujun,combo,A,4.726,285,250,120,0.48,検討,81.2,83.8,171.8,464.5,269565
1659,2635,phase2,SURFACE_2_ダ,moshoku_code+prev1_corner4_bin,combo,B,2.206,31,25,12,0.48,検討,80.3,73.2,124.8,146.1,164860
1660,3688,phase2,SURFACE_2_芝,bac_tosu+shirushi_code_5,combo,C,1.411,79,75,36,0.48,検討,79.5,76.8,95.7,103.1,92944
1661,2380,phase2,GLOBAL,sanchimei+shirushi_code_1,combo,B,2.415,135,100,48,0.48,検討,79.2,75.1,149.9,151.0,223147
1662,1285,phase2,SURFACE_2_芝,chokyo_yajirushi_code+prev1_corner4,combo,A,3.474,69,50,24,0.48,検討,78.8,71.0,134.1,227.5,148662
1663,2880,phase2,SURFACE_2_ダ,kishu_minarai_code+shirushi_code_5,combo,B,2.026,30,25,12,0.48,検討,77.3,80.2,91.9,127.2,15026
1664,55,phase2,SURFACE_2_芝,babajotai_heavy+rotation,combo,S,6.47,110,75,36,0.48,検討,77.0,82.1,208.4,528.1,148680
1665,3036,phase2,GLOBAL,class_code+shirushi_code_2,combo,C,1.903,178,146,70,0.4795,検討,78.1,75.3,119.4,126.8,174651
1666,5145,phase1,KEIBAJO_SURFACE_07_ダ,kijun_odds_tansho,numeric,C,0.645,262,48,23,0.4792,検討,80.9,83.9,234.1,742.8,21346
1667,5147,phase1,KEIBAJO_SURFACE_07_ダ,joa_odds_shisu,numeric,C,0.645,262,48,23,0.4792,検討,80.9,83.9,234.1,742.8,21346
1668,3874,phase1,KEIBAJO_SURFACE_07_ダ,idm,numeric,C,1.292,100,48,23,0.4792,検討,80.8,72.8,175.4,324.5,21346
1669,2223,phase2,GLOBAL,prev3_chakujun+shirushi_code_4,combo,B,2.582,104,96,46,0.4792,検討,80.5,81.6,136.5,254.0,143551
1670,2138,phase2,SURFACE_2_ダ,kyori+manken_shirushi,combo,B,2.65,96,96,46,0.4792,検討,80.0,77.5,107.5,218.1,111609
1671,1885,phase2,SURFACE_2_芝,chokyo_yajirushi_code+hizume_code,combo,B,2.889,59,48,23,0.4792,検討,79.9,75.9,115.4,169.9,147248
1672,5350,phase2,GLOBAL,shirushi_code_5+wakuban,combo,C,0.546,48,48,23,0.4792,検討,79.7,77.9,84.9,89.8,193685
1673,4158,phase2,SURFACE_2_ダ,shirushi_code_5+umaban_clean,combo,C,1.119,96,96,46,0.4792,検討,79.6,76.8,91.0,121.1,93871
1674,4183,phase2,SURFACE_2_ダ,shirushi_code_3+umaban_clean,combo,C,1.1,96,96,46,0.4792,検討,79.6,78.2,96.4,112.9,94586
1675,5288,phase2,GLOBAL,shirushi_code_3+wakuban,combo,C,0.579,48,48,23,0.4792,検討,79.5,77.6,86.5,96.1,194934
1676,4471,phase2,SURFACE_2_芝,manken_shirushi+shirushi_code_3,combo,C,0.953,48,48,23,0.4792,検討,79.4,77.1,88.3,96.4,65798
1677,4627,phase2,SURFACE_2_ダ,shirushi_code_4+umaban_clean,combo,C,0.879,96,96,46,0.4792,検討,79.4,77.8,89.8,99.1,94954
1678,5061,phase2,SURFACE_2_芝,shirushi_code_6+wakuban,combo,C,0.682,48,48,23,0.4792,検討,79.4,77.3,88.0,94.7,93641
1679,1401,phase2,SURFACE_2_ダ,prev1_bataiju_bin+shirushi_code_2,combo,A,3.36,55,48,23,0.4792,検討,79.3,78.6,105.4,285.6,87353
1680,4674,phase2,SURFACE_2_芝,shirushi_code_3+wakuban,combo,C,0.855,48,48,23,0.4792,検討,79.3,76.7,86.6,94.8,93457
1681,5425,phase2,GLOBAL,shirushi_code_4+wakuban,combo,C,0.494,48,48,23,0.4792,検討,79.3,77.9,87.3,94.4,195681
1682,1086,phase2,SURFACE_2_芝,manken_shirushi+taikei_tomo,combo,A,3.73,192,144,69,0.4792,検討,79.2,80.6,143.0,253.0,89109
1683,4038,phase2,SURFACE_2_芝,bac_jouken+manken_shirushi,combo,C,1.183,48,48,23,0.4792,検討,79.1,78.9,90.7,119.2,108336
1684,2333,phase2,GLOBAL,manken_shirushi+moshoku_code,combo,B,2.455,56,48,23,0.4792,検討,79.0,75.7,121.1,184.7,227411
1685,3921,phase1,KEIBAJO_SURFACE_08_芝,manken_shisu,numeric,C,1.269,63,48,23,0.4792,検討,78.1,76.9,135.7,221.9,17159
1686,4021,phase1,KEIBAJO_SURFACE_06_芝,ichi_shisu,numeric,C,1.194,143,96,46,0.4792,検討,77.2,79.2,189.0,263.3,22719
1687,1370,phase2,SURFACE_2_ダ,chokyo_yajirushi_code+taikei_dou,combo,A,3.387,67,48,23,0.4792,検討,75.4,77.3,124.5,176.8,161457
1688,292,phase2,SURFACE_2_芝,prev1_corner4+prev3_chakujun,combo,S,5.062,293,238,114,0.479,検討,80.4,80.2,228.4,370.1,120239
1689,1170,phase2,SURFACE_2_ダ,prev2_chakujun+prev3_chakujun,combo,A,3.622,256,238,114,0.479,検討,80.2,79.3,143.8,246.8,137407
1690,2796,phase2,SURFACE_2_芝,shirushi_code_2+taikei_tomo,combo,B,2.087,147,119,57,0.479,検討,80.2,78.3,132.2,160.7,75847
1691,54,phase2,SURFACE_2_ダ,gekiso_type+hizume_code,combo,S,6.503,102,71,34,0.4789,検討,81.5,78.2,143.0,383.8,63697
1692,2150,phase2,SURFACE_2_芝,hizume_code+shirushi_code_3,combo,B,2.641,101,71,34,0.4789,検討,79.5,74.9,109.6,194.7,80483
1693,537,phase2,SURFACE_2_芝,prev3_chakujun+yoso_juni,combo,A,4.482,282,236,113,0.4788,検討,81.1,80.3,281.4,360.6,120239
1694,2195,phase2,SURFACE_2_ダ,kishu_shisu+prev1_corner4,combo,B,2.602,448,328,157,0.4787,検討,79.9,76.4,129.7,269.1,164860
1695,3279,phase2,SURFACE_2_ダ,joho_shisu+kyori_tekisei,combo,C,1.699,213,188,90,0.4787,検討,79.6,77.8,112.4,127.6,174589
1696,867,phase2,SURFACE_2_ダ,shirushi_code_4+uma_deokure_ritsu,combo,A,4.024,269,163,78,0.4785,検討,78.9,76.4,144.9,336.7,88609
1697,451,phase2,GLOBAL,prev2_chakujun+prev3_chakujun,combo,A,4.643,305,255,122,0.4784,検討,79.8,80.3,205.6,428.7,269565
1698,958,phase2,SURFACE_2_芝,bataiju_change_bin+prev2_chakujun,combo,A,3.907,81,69,33,0.4783,検討,83.6,82.7,154.7,312.9,132862
1699,992,phase2,SURFACE_2_ダ,gekiso_type+shirushi_code_3,combo,A,3.857,28,23,11,0.4783,検討,82.3,75.1,160.3,203.4,23192
1700,4017,phase1,KEIBAJO_SURFACE_09_ダ,rotation,numeric,C,1.2,33,23,11,0.4783,検討,80.6,70.6,124.7,157.8,25609
1701,5348,phase1,KEIBAJO_SURFACE_06_ダ,joho_shisu,numeric,C,0.546,51,46,22,0.4783,検討,80.6,78.8,110.3,137.1,30839
1702,2304,phase2,SURFACE_2_芝,class_code+kyusha_hyoka_code,combo,B,2.499,61,46,22,0.4783,検討,80.0,74.9,123.2,153.5,148472
1703,4479,phase1,KEIBAJO_SURFACE_09_ダ,uma_start_shisu,numeric,C,0.947,27,23,11,0.4783,検討,79.4,78.2,121.4,220.2,25511
1704,2648,phase2,GLOBAL,gekiso_type+manken_shirushi,combo,B,2.194,48,46,22,0.4783,検討,79.3,74.4,107.0,178.7,114019
1705,3441,phase2,SURFACE_2_ダ,prev1_corner4+shirushi_code_4,combo,C,1.584,101,92,44,0.4783,検討,78.9,76.4,98.1,131.8,88638
1706,156,phase2,SURFACE_2_ダ,moshoku_code+prev1_keibajo,combo,S,5.553,106,69,33,0.4783,検討,78.7,69.9,159.7,445.7,164860
1707,4102,phase1,KEIBAJO_SURFACE_05_芝,rotation,numeric,C,1.147,33,23,11,0.4783,検討,78.5,79.7,155.4,227.4,20246
1708,1975,phase2,SURFACE_2_芝,babajotai_heavy+sanchimei,combo,B,2.792,61,46,22,0.4783,検討,78.3,74.8,123.2,147.6,170976
1709,4501,phase1,KEIBAJO_SURFACE_09_芝,gekiso_shisu,numeric,C,0.939,204,115,55,0.4783,検討,77.8,80.8,208.6,436.9,21956
1710,228,phase2,GLOBAL,kijun_ninkijun_fukusho+prev1_keibajo,combo,S,5.255,239,161,77,0.4783,検討,76.8,76.3,165.7,447.1,325448
1711,1597,phase2,SURFACE_2_ダ,barei+kishu_minarai_code,combo,A,3.133,28,23,11,0.4783,検討,74.6,71.9,98.7,126.4,33021
1712,3694,phase1,KEIBAJO_SURFACE_01_芝,goal_sa,numeric,C,1.406,29,23,11,0.4783,検討,71.6,65.8,101.3,185.8,9819
1713,3453,phase2,SURFACE_2_ダ,joho_shisu+prev1_kyakushitsu,combo,C,1.576,206,182,87,0.478,検討,79.7,77.8,100.7,141.6,164860
1714,1569,phase2,SURFACE_2_芝,taikei_tomo+yy_int,combo,A,3.162,211,182,87,0.478,検討,79.0,79.1,144.7,271.3,139970
1715,387,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+kyi_kyusha_rank,combo,A,4.772,124,113,54,0.4779,検討,81.4,83.7,184.0,470.9,170683
1716,300,phase2,SURFACE_2_ダ,hizume_code+kyori,combo,S,5.035,183,134,64,0.4776,検討,81.3,83.0,184.4,488.9,163584
1717,2202,phase2,GLOBAL,kijun_ninkijun_tansho+prev1_corner4_bin,combo,B,2.6,72,67,32,0.4776,検討,80.8,79.9,159.0,208.7,325448
1718,2144,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+prev1_kyakushitsu,combo,B,2.645,74,67,32,0.4776,検討,79.7,80.4,113.3,180.9,148662
1719,2093,phase2,SURFACE_2_芝,kyakushitsu+prev3_chakujun,combo,B,2.681,72,67,32,0.4776,検討,78.5,80.4,123.4,199.3,120239
