rank,source,segment,factor,factor_type,grade,mark,score_std,n_bins,edge_bins,avg_win_roi,avg_place_roi,best_bin_win_roi,best_bin_place_roi,total_samples
1,phase2,SURFACE_2_芝,gekiso_type+shirushi_code_2,combo,S,★★★,9.757,35,4,99.2,86.1,494.9,220.4,26643
2,phase2,GLOBAL,gekiso_type+shirushi_code_5,combo,S,★★★,9.513,36,5,95.4,85.2,575.1,180.7,50577
3,phase2,GLOBAL,gekiso_type+shirushi_code_1,combo,S,★★★,9.023,37,4,89.5,83.2,613.4,200.9,67388
4,phase2,SURFACE_2_芝,gekiso_type+shirushi_code_5,combo,S,★★★,8.89,32,4,87.4,80.3,561.9,256.9,24710
5,phase2,SURFACE_2_芝,bataiju_change_bin+gekiso_type,combo,S,★★★,7.952,30,4,94.3,82.6,488.8,218.2,58848
6,phase2,GLOBAL,kishu_minarai_code+uma_deokure_ritsu,combo,S,★★★,7.713,159,44,87.4,78.9,695.7,189.7,48528
7,phase2,GLOBAL,gekiso_type+shirushi_code_2,combo,S,★★★,7.649,36,3,91.4,82.2,483.4,137.8,54827
8,phase2,SURFACE_2_芝,gekiso_type+sanchimei,combo,S,★★★,7.396,85,11,77.6,79.7,509.7,274.9,67555
9,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+kyusha_hyoka_code,combo,S,★★★,7.305,52,10,84.1,78.7,522.1,153.0,170977
10,phase2,SURFACE_2_芝,kishu_minarai_code+moshoku_code,combo,S,★★★,7.303,28,3,86.3,73.9,440.0,135.5,20377
11,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+kyusha_hyoka_code,combo,S,★★★,7.289,51,10,85.9,77.9,522.1,153.0,170977
12,phase2,SURFACE_2_芝,bataiju_change_bin+kijun_ninkijun_fukusho,combo,S,★★★,7.267,83,14,85.7,84.2,603.4,211.5,148513
13,phase2,SURFACE_2_芝,bataiju_change_bin+kijun_ninkijun_tansho,combo,S,★★★,7.26,83,15,85.8,84.2,603.4,211.5,148513
14,phase2,SURFACE_2_芝,bataiju_change_bin+hobokusaki_rank,combo,S,★★★,7.235,28,5,91.4,89.3,403.9,217.7,141758
15,phase2,SURFACE_2_芝,kishu_minarai_code+uma_deokure_ritsu,combo,S,★★★,7.177,87,24,84.9,79.4,358.6,182.6,17355
16,phase2,SURFACE_2_ダ,hizume_code+kijun_ninkijun_tansho,combo,S,★★★,7.062,259,49,81.4,80.2,815.7,252.5,163584
17,phase2,SURFACE_2_芝,gekiso_type+uma_deokure_ritsu,combo,S,★★★,7.052,246,66,79.9,76.2,432.3,244.8,58830
18,phase2,SURFACE_2_ダ,hizume_code+kijun_ninkijun_fukusho,combo,S,★★★,7.039,259,50,81.1,80.4,815.7,252.5,163584
19,phase2,GLOBAL,bataiju_change_bin+prev1_keibajo,combo,S,★★★,7.003,103,17,83.3,79.8,529.5,243.1,325243
20,phase2,SURFACE_2_ダ,gekiso_type+nyukyu_nannichimae,combo,S,★★★,6.959,195,52,85.2,80.0,493.4,198.7,36119
