segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_01_ダ,shirushi_code_1+shirushi_code_2+shirushi_code_6,95.58,91.34,3,2167,83.91,83.28,85.21,83.28,True,pass,True,71.32,5.0,3.0,False,shirushi_clb_low,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_芝,goal_sa+kyori+yoso_juni,95.42,72.91,5,6414,74.86,74.51,74.31,74.31,False,oot_clb_low,False,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+hizume_code+yy_int,94.31,60.62,35,6282,76.28,73.73,75.32,73.73,False,oot_clb_low,False,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_02_芝,moshoku_code+prev1_corner4_bin+shirushi_code_1,94.17,52.9,4,2257,76.71,78.67,77.08,76.71,False,oot_clb_low,True,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_02_芝,kijun_ninkijun_fukusho+prev1_corner4_bin+shirushi_code_1,93.09,84.44,3,2257,76.71,78.67,77.08,76.71,True,pass,True,68.56,5.0,3.0,False,shirushi_clb_low,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_01_ダ,shirushi_code_1+shirushi_code_2+shirushi_code_4,93.06,67.72,5,2167,84.71,82.8,85.97,82.8,False,oot_clb_low,True,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_08_芝,bac_jouken+goal_sa+kyori,92.93,81.33,5,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,73.63,19.3,True,pass,True
KEIBAJO_SURFACE_01_ダ,goal_juni+pace_yoso+shirushi_code_2,92.84,61.05,5,2167,84.54,80.94,86.18,80.94,False,oot_clb_low,True,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_08_芝,goal_juni+manken_shirushi+shirushi_code_2,92.66,91.58,5,6414,81.92,80.66,81.16,80.66,True,pass,True,67.55,5.0,3.0,False,shirushi_clb_low,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_06_ダ,ls_shisu_juni+manken_shirushi+shirushi_code_2,92.42,66.87,8,8946,79.49,82.29,80.02,79.49,False,oot_clb_low,True,,,,False,skipped_f1_fail,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_01_ダ,agari_shisu_juni+shirushi_code_1+tenkai_kigo_code,92.18,83.54,6,2167,82.59,80.58,80.32,80.32,True,pass,True,71.86,8.0,3.0,False,shirushi_clb_low,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_06_ダ,goal_sa+prev3_chakujun+shirushi_code_1,92.0,83.14,5,8946,79.37,81.53,80.39,79.37,True,pass,True,54.88,5.0,3.0,False,shirushi_clb_low,,,False,skipped_f2_fail,False
